Localidad	Categoría	Prestadores	Web	Funcionamiento	Observaciones	Dirección	Teléfono fijo	WhatsApp
VG	Hotel 3*	Abetaia	Si	Abierto T.A  / Cierra del 05/03 al 20/12.		Avenida 5 Nº 467 e/ Paseos 104 y 105	(02255) 46-2454	5491160288924
VG	Sin categorizar	25 de Noviembre II - Sindicato de Obreros Marítimos Unidos (S.O.M.U.)	Si	Abierto todo el año.  A partir de Marzo alquilan a particulares	No pedir reservas, No pedir tarifas, No pedir ocupacion, No pedir diponibilidad	Paseo 108 Nº 211 y Avenida 2	(02255) 46-2242 // 46-7381	
LG	Departamentos con servicios	30 y Playa	Oculto			Calle 30 y Playa	No posee.	54 9 2254 59-5045
VG	Hotel 2*	Acquamarina	Si	Cerrado h. 17/08		Avenida 1 Nº 759 e/ Paseos 107 y 108	(02255) 46-6031	5492236810419
VG	Sin categorizar	Agua de Coco	Si	Abierto T.A. / Abre el 26/12.		Paseo 112 Nº 40 e/ Paseo Costanero y Avenida 1	(02255) 46-4633	5491165207288
VG	Hotel 2*	Águila Blanca	Si	Abierto T.A  Abre 1° de Diciembre		Paseo 137 Nº 267 e/ Avenidas 2 y 3	(02255) 47-6132	5491159298520
VG	Sin categorizar	Agustina A.O.M.A	Si	Abierto todo el año.		Avenida 2 Nº 699 y Paseo 107	(02255) 47-5986	5491125334275
MDLP	Cabaña	Abvai	Oculto			Piedrabuena y Juan de Garay		
VG	Sin categorizar	Albatros	Si	Abierto T.A. / abre el 29 de diciembre.		Paseo 141 bis Nº 350 e/ Avenidas 3 y 4	(02255) 47-6179	5492255420477
VG	Hotel 2*	Aldea Marina	Si	Abierto todo el año.		Avenida 3 Nº 1481 e/ Paseos 114 y 115	(02255) 46-2775	5492255408126/ 5492255417716
VG	Hotel 2*	Alfil	Si	Abierto T.A. / Abre en enero		Paseo 119 Nº 355 e/ Avenidas 3 y 4	(02255) 46-2832	5491160951693
VG	Departamentos con servicios	Alma Natura	Si	Abierto todo el año. Cerrado por reformas. Abre en septiembre		Paseo 128 Nº 118	(02255) 45-7548	5492255534397
VG	Hotel 2*	Adriático	No	No figura en la web.		Avenida Buenos Aires N° 174	 (02255) 46-8358	
VG	Camping	Áfrika	Oculto	Oculto en web.			(02255) 45-8507	
VG	Apart Hotel	Alpemar	Si	Abierto todo el año.		Avenida 1 e/ Paseos 114 y 115	(02255) 45-2510 	5491140447616
VG	Hostería 2*	Anchimalen	Si	Reabre en octubre.		Avenida 4 y Paseo 106	(02255) 46-2380 / 47-2380	5492255414066 / 5492255621007 
VG	Hotel 2*	Arco Iris	Si	Abre el 27/12		Paseo 107 Nº 199 y Avenida 2	(02255) 46-7844	5491161779041
VG	Departamentos con servicios	Arenas Blandas	Si	Abierto todo el año.		Calle 310 e/ Alamedas 206 bis y 207	(02255) 47-8481 	5492255478481
VG	Sin categorizar	Armony	Si	Abierto todo el año.		Avenida 8 Nº 649 e/ Paseos 106 y 107	(02255) 46-2544	5491136978349
VG	Hotel	Augusta - SUTECBA	Si	Abierto T.A.		Avenida 2 Nº 817 e/ Paseos 108 y 109	(02255) 45-8167	
VG	Hotel 2*	Bamba	Si	Abierto T.A.		Paseo 108 Nº 176 e/ Avenidas 1 y 2	(02255) 46-2681	5492255408639
VG	Hotel 1*	Bariloche	Si	Cerrado hasta fin de año.		Paseo Costanero Nº 63 e/ Avenida Buenos Aires y Calle 301	No posee.	5492233406912
